name,link,city,state,company,type,address,address_pt2,phone,website,program_offered_1,program_offered_2,program_offered_3,program_offered_4,program_offered_5,program_offered_6,program_offered_7,program_offered_8,program_offered_9,program_offered_10
Anna Westin House,http://www.carf.org/providerProfile.aspx?cid=344247,Saint Paul,MN,"The Emily Program, LLC",BH,1449 Cleveland Avenue North,"Saint Paul, MN  55108",651-645-5323,651-645-5323,Residential Treatment (BH) Mental Health Eating Disorders,,,,,,,,,
Anna Westin House Adolescent and Young Adult,http://www.carf.org/providerProfile.aspx?cid=344248,Saint Paul,MN,"The Emily Program, LLC","BH, children and adolescents",2230 Como Avenue,"Saint Paul, MN  55108",651-645-5323,651-645-5323,Residential Treatment (BH) Mental Health Eating Disorders,Residential Treatment (BH) Mental Health Eating Disorders - Children and Adolescents,,,,,,,,
Anna Westin House West,http://www.carf.org/providerProfile.aspx?cid=344249,Minneapolis,MN,"The Emily Program, LLC",BH,3012 44th Street West,"Minneapolis, MN  55410",651-645-5323,651-645-5323,Residential Treatment (BH) Mental Health Eating Disorders,Residential Treatment (BH) Mental Health Eating Disorders - Children and Adolescents,,,,,,,,
"Appalachian Outpatient Services, LLC dba Tapestry Eating Disorder Program",http://www.carf.org/providerProfile.aspx?cid=239822,Brevard,NC,Clearview Pyramid Acquisition Company - Southeast,"BH, children and adolescents",11 North Country Club,"Brevard, NC  28712",855-396-2604,855-396-2604,Intensive Outpatient Treatment (BH) Mental Health Adults,Partial Hospitalization Mental Health Adults,Partial Hospitalization Mental Health Eating Disorders - Children and Adolescents,Residential Treatment (BH) Mental Health Adults,Residential Treatment (BH) Mental Health Eating Disorders - Children and Adolescents,,,,,
"CRC ED Treatment, Inc. dba Montecatini",http://www.carf.org/providerProfile.aspx?cid=214772,Carlsbad,CA,Acadia Healthcare,BH,2524 La Costa Avenue,"Carlsbad, CA  92009",760-436-2657,760-436-2657,Residential Treatment (BH) Mental Health Eating Disorders,Residential Treatment (BH) Mental Health Eating Disorders - Children and Adolescents,,,,,,,,
"CRC ED Treatment, LLC dba Carolina House",http://www.carf.org/providerProfile.aspx?cid=214775,Durham,NC,Acadia Healthcare,BH,176 Lassiter Homestead Road,"Durham, NC  27713",919-372-7942,919-372-7942,Residential Treatment (BH) Mental Health Adults,Residential Treatment (BH) Mental Health Children and Adolescents,Residential Treatment (BH) Mental Health Eating Disorders,,,,,,,
"CRC ED Treatment, LLC dba Montecatini II",http://www.carf.org/providerProfile.aspx?cid=216252,Carlsbad,CA,"CRC ED Treatment, Inc. dba Montecatini",BH,2556 La Costa Avenue,"Carlsbad, CA  92009",760-436-2657,760-436-2657,Residential Treatment (BH) Mental Health Eating Disorders,,,,,,,,,
"CRC ED Treatment, LLC dba Montecatini III",http://www.carf.org/providerProfile.aspx?cid=284598,Carlsbad,CA,"CRC ED Treatment, Inc. dba Montecatini",BH,7324 El Fuerte Street,"Carlsbad, CA  92009",760-522-9101,760-522-9101,Residential Treatment (BH) Mental Health Eating Disorders,Residential Treatment (BH) Mental Health Eating Disorders - Children and Adolescents,,,,,,,,
Carolina House,http://www.carf.org/providerProfile.aspx?cid=294657,Durham,NC,"CRC ED Treatment, LLC dba Carolina House",BH,7200 NC Highway 751,"Durham, NC  27713",919-224-1628,919-224-1628,Residential Treatment (BH) Mental Health Adults,Residential Treatment (BH) Mental Health Eating Disorders,,,,,,,,
Commerce,http://www.carf.org/providerProfile.aspx?cid=356884,Commerce,CA,"Adolescent Growth, Inc.","BH, children and adolescents",6323 Zindell Avenue,"Commerce, CA  90040",626-768-1742,626-768-1742,Intensive Outpatient Treatment (BH) Mental Health Children and Adolescents,Intensive Outpatient Treatment (BH) Substance Use Disorders/Addictions Children and Adolescents,Partial Hospitalization Mental Health Children and Adolescents,Partial Hospitalization Mental Health Eating Disorders - Children and Adolescents,Partial Hospitalization Substance Use Disorders/Addictions Children and Adolescents,Residential Treatment (BH) Mental Health Children and Adolescents,Residential Treatment (BH) Mental Health Eating Disorders - Children and Adolescents,Residential Treatment (BH) Substance Use Disorders/Addictions Children and Adolescents,,
