name1,name2,street1,street2,city,state,zip,zip4,county,phone,website,latitude,longitude,hi,res,phdt,op,cbhc,msmh,omh,ores,ph,psy,rtca,rtcc,ipsy,shp,vahc,chld,yad,adlt,snr,tay,se,gl,vet,adm,mf,cj,co,hv,dv,trma,tbi,alz,ped,pefp,ptsd,sed,smi
CSB of Middle Georgia,Quentin Price Crisis Stablization Unit,118 Thomas Lane,Building 9,Dublin,GA,31021,,Laurens,478-275-6811 x1177,http://www.csbmg.com/,32.5303429,-82.9268525,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1,,1.0,,1.0
Hillside Inc,,690 Courtenay Drive NE,,Atlanta,GA,30306,3421.0,Fulton,404-875-4551,http://www.hside.org,33.7901028,-84.3648764,,1,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1,,1.0,1.0,
Center for Discovery,,1364 Manget Way,,Atlanta,GA,30338,,DeKalb,866-944-9796,http://centerfordiscovery.com/locations/dunwoody/,33.9413289,-84.3326352,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1,,1.0,,
Southern Live Oak Wellness,,1535 Mount Vernon Road,,Atlanta,GA,30338,,DeKalb,770-238-2674,http://www.southernliveoakwellness.com,33.9446138,-84.3360869,,1,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,1,1.0,1.0,,1.0
Cathedral Home for Children,,4989 North 3rd Street,,Laramie,WY,82072,,Albany,307-745-8997,http://www.cathedralhome.org,41.3534026,-105.5890424,,1,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,1,,1.0,1.0,
Rogers Behavioral Health,Oconomowoc,34700 Valley Road,,Oconomowoc,WI,53066,,Waukesha,262-646-4411,http://www.rogersbh.org,43.0843091,-88.4358343,1.0,1,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,1,,,,
Safe Harbor,,201 West Laurel Street,,Brainerd,MN,56401,,Crow Wing,218-454-3844,http://www.npmh.org,46.3546889,-94.21153,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1,,1.0,,1.0
Thrive Behavioral Network,Milestones,620 9th Avenue West,,Alexandria,MN,56308,,Douglas,320-763-3466,http://www.thrivebehavioralnetwork.com,45.8822109,-95.3863311,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
People Inc,Riverwind Crisis Residence,2708 119th Avenue NW,,Minneapolis,MN,55433,,Anoka,763-862-7944,http://www.peopleincorporated.org,45.1860073,-93.3359212,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
Volunteers of America of Minnesota,Childrens Residential Treatment Center,2000 Hopkins Crossroad,,Hopkins,MN,55305,,Hennepin,612-870-4300,http://www.voamnwi.org/crtc,44.9636896,-93.4212358,,1,,,,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,1,,1.0,1.0,
People Inc,Anchor House,1593 Hewitt Avenue,,Saint Paul,MN,55104,,Ramsey,612-529-2040,http://www.peopleincorporated.org,44.9667187,-93.1678717,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
People Inc,Maghakian Place,1100 Hancock Street,,Saint Paul,MN,55106,5336.0,Ramsey,651-793-6333,http://www.peopleincorporated.org,44.958817,-93.053071,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
People Inc,Diane Ahrens Crisis Residence,1784 Lacrosse Avenue,,Saint Paul,MN,55119,4808.0,Ramsey,651-645-9424,http://www.peopleincorporated.org,44.9710395,-93.0249645,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
Key Point Health Services Inc,,1012 North Point Road,,Baltimore,MD,21224,,Baltimore City,443-216-4800,http://www.keypoint.org,39.2888523,-76.5088079,,1,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1,,1.0,1.0,1.0
Citywide Health Corporation,Citywide Behavioral Health ,17 Warren Road ,Suite 20-B ,Pikesville,MD,21208,,Baltimore,410-929-2314,http://www.citywidebh.com,39.3684731,-76.7146696,,1,,1.0,,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,1.0
Sheppard Pratt Health System,Sheppard Pratt School and RTC,6501 North Charles Street,,Towson,MD,21204,,Baltimore,410-938-3000,http://www.Sheppardpratt.org,39.4025,-76.6344,,1,,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,1,,1.0,1.0,
Key Point Health Services Inc,Administration and Outpatient Clinic,135 North Parke Street,,Aberdeen,MD,21001,2428.0,Harford,443-625-1600,http://www.KeyPoint.org,39.513193,-76.1628,,1,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1,,1.0,1.0,1.0
Cedar Ridge Ministries,Childrens Home,12146 Cedar Ridge Road,,Williamsport,MD,21795,,Washington,301-582-0282 x123,http://cedarridgeministries.org,39.6482628,-77.856098,,1,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,1.0,,1,,1.0,1.0,1.0
Bethlem Hospital,,801 Ostrum Street,,Bethlehem,PA,18015,,Bucks,215-538-4500 x4747,http://www.slhn.org,40.6090639,-75.3930609,1.0,1,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,1,,1.0,,1.0
Central Texas VA Healthcare Services,,1901 Veterans Memorial Drive,,Temple,TX,76504,,Bell,254-743-1271,http://CTVHCS.gov,31.076454,-97.347436,,1,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,1,1.0,1.0,,
Central Texas VA Healthcare System,Waco VA Medical Center,4800 Memorial Drive,,Waco,TX,76711,,McLennan,254-752-6581,http://www.centraltexas.va.gov,31.5129761,-97.1639125,1.0,1,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,1.0
Sage Recovery and Wellness Village,,7201 Gilbert Road,,Manor,TX,78653,,Travis,512-306-1394,http://,30.2767472,-97.577331,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,,1,1.0,1.0,1.0,1.0
Center for Discovery,Dallas,5124 Corinthian Bay Drive,,Plano,TX,75093,4001.0,Collin,866-862-3631,http://centerfordiscovery.com/locations/plano/,33.0376292,-96.8005843,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1,,1.0,,
Center for Discovery,Houston,17515 Swansbury Drive  ,,Cypress,TX,77429,3407.0,Harris,866-824-0109,http://centerfordiscovery.com/locations/houston-outpatient/,29.9754861,-95.694595,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1,,1.0,,
Unity Childrens Home,,2111 River Valley Drive,,Spring,TX,77373,,Harris,281-355-0905,http://www.unitychildrenshome.com,30.0577736,-95.3951413,,1,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,1,,,1.0,
Corpus Christi Medical Center,Bayview Behavioral Hospital,6629 Wooldridge Road,,Corpus Christi,TX,78414,,Nueces,361-986-8200 x8204,http://www.ccmedicalcenter.com,27.6799384,-97.3602123,1.0,1,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1,1.0,1.0,1.0,1.0
Markus Mittemayr,,4123 37th Street North,,Saint Petersburg,FL,33714,,Pinellas,727-522-4717,http://www.boleycenters.org,27.8094248,-82.6829813,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,1,,1.0,,1.0
Boley Morningside Safe Haven,,9220 102nd Avenue North,,Seminole,FL,33777,,Pinellas,727-821-4819,http://www.boleycenters.org,27.8651712,-82.7663672,,1,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,1,1.0,1.0,,1.0
David Lawrence Center,Outpatient/Residential and Detox,6075 Bathey Lane,,Naples,FL,34116,,Collier,239-455-8500,http://davidlawrencecenter.org,26.1758257,-81.7282945,,1,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,1.0,,,1,,1.0,1.0,1.0
Family Center for Recovery,,7051 Seacrest Boulevard,,Lake Worth,FL,33462,,Palm Beach,561-296-5288,http://www.fcfrmd.com,26.5709319,-80.0680089,,1,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,1.0,1.0
Guest House Ocala,,3230 NE 55th Avenue,,Silver Springs,FL,34488,,Marion,855-483-7800,http://www.theguesthouseocala.com,29.2202852,-82.0601221,,1,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1,,1.0,,
Dignity Healing,Crystal Lake Healing,1000 East Hillsboro Boulevard,Suite 103,Deerfield Beach,FL,33441,,Broward,754-227-3733,http://www.crystallakehealing.com,26.3168124,-80.0896339,1.0,1,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1,,1.0,,1.0
Kinder in the Keys Treatment Center,,6 Ocean View Boulevard,,Key Largo,FL,33037,,Monroe,800-545-4046,http://www.kinderinthekeys.com,25.0416111,-80.4924803,,1,1.0,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,,1,,1.0,,
Canopy Cove Eating Disorder Trt Ctr,Refresh Canopy Cove,13305 Mahan Drive,,Tallahassee,FL,32309,,Leon,850-893-8800,http://www.canopycove.com,30.5180759,-84.0520897,,1,1.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1,,,,
Christ Child House,,15751 Joy Road,,Detroit,MI,48228,,Wayne,313-584-6077,http://www.christchildhouse.org,42.3574252,-83.1996041,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1,,1.0,1.0,
