name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,idd,at,ect,tele,smon,smpd,smop,hi,res,phdt,op,vamc,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,sumh,cbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,dv,pefp,hivt,stdt,tbs,aot,msnh,ipsy,shp,vahc,antpych,aim,fed,mhc,hbt,hct,labt,vapn,vapp,vppd,nx,fx,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n24,n40
CSB of Middle Georgia,Quentin Price Crisis Stablization Unit,118 Thomas Lane,Building 9,Dublin,GA,31021,,Laurens,478-275-6811 x1177,Intakes,478-275-6810,478-275-6811 x1176,http://www.csbmg.com/,32.5303429,-82.9268525,MH,1,,,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,1,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Hillside Inc,,690 Courtenay Drive NE,,Atlanta,GA,30306,3421.0,Fulton,404-875-4551,Intake,404-875-4551 x1017,,http://www.hside.org,33.7901028,-84.3648764,MH,1,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,1,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,1.0,,,1,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Center for Discovery,,1364 Manget Way,,Atlanta,GA,30338,,DeKalb,866-944-9796,,,,http://centerfordiscovery.com/locations/dunwoody/,33.9413289,-84.3326352,MH,1,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,1,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Southern Live Oak Wellness,,1535 Mount Vernon Road,,Atlanta,GA,30338,,DeKalb,770-238-2674,,,,http://www.southernliveoakwellness.com,33.9446138,-84.3360869,MH,1,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Cathedral Home for Children,,4989 North 3rd Street,,Laramie,WY,82072,,Albany,307-745-8997,,,,http://www.cathedralhome.org,41.3534026,-105.5890424,MH,1,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,,1,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Rogers Behavioral Health,Oconomowoc,34700 Valley Road,,Oconomowoc,WI,53066,,Waukesha,262-646-4411,Intake,800-767-4411,,http://www.rogersbh.org,43.0843091,-88.4358343,MH,1,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,1,,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Safe Harbor,,201 West Laurel Street,,Brainerd,MN,56401,,Crow Wing,218-454-3844,,,,http://www.npmh.org,46.3546889,-94.21153,MH,1,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Thrive Behavioral Network,Milestones,620 9th Avenue West,,Alexandria,MN,56308,,Douglas,320-763-3466,,,,http://www.thrivebehavioralnetwork.com,45.8822109,-95.3863311,MH,1,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
People Inc,Riverwind Crisis Residence,2708 119th Avenue NW,,Minneapolis,MN,55433,,Anoka,763-862-7944,,,,http://www.peopleincorporated.org,45.1860073,-93.3359212,MH,1,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,1,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1,,,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Volunteers of America of Minnesota,Childrens Residential Treatment Center,2000 Hopkins Crossroad,,Hopkins,MN,55305,,Hennepin,612-870-4300,Intake,612-278-4221,,http://www.voamnwi.org/crtc,44.9636896,-93.4212358,MH,1,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,1,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,1.0,,1.0,1,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
