"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","mh","psy","rtcc","rtca","ores","ph","omh","cmhc","msmh","ipt","cft","gt","cbt","dbt","idd","at","ect","tele","smon","smpd","smop","hi","res","phdt","op","vamc","tbg","ih","sf","md","mc","si","pi","mi","smha","swfs","scjj","sef","osf","clf","csbg","cmhg","vaf","cit","wi","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","hv","trma","sed","smi","alz","ptsd","tbi","tay","ped","act","icm","cm","cdm","peer","coot","dec","es","fpsy","hs","imr","ipc","lad","nrt","nsc","prs","stu","sps","semp","sh","tpc","tcc","vrs","chld","yad","adlt","snr","itu","pvtp","pvtn","fqhc","sumh","cbhc","chlor","drope","fluph","halop","loxap","perph","pimoz","proch","thiot","thior","trifl","aripi","asena","brexp","carip","cloza","ilope","luras","olanz","olanzf","palip","queti","rispe","zipra","crt","emdr","kit","tms","peon","peoff","fg","pcf","dv","pefp","hivt","stdt","tbs","aot","msnh","ipsy","shp","vahc","antpych","aim","fed","mhc","hbt","hct","labt","vapn","vapp","vppd","nx","fx","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40"
"Community Connections LLC","Greenway","2301 East Greenway Road","","Phoenix","AZ","85022","","Maricopa","602-535-8313","Intake","623-242-8460","","http://www.communityconnectionsaz.org","33.626007","-112.0327562","MH","1","","","1","","","","","","1","1","1","1","1","1","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Community Connections LLC","Union Hills","18215 North 11th Drive","","Phoenix","AZ","85023","","Maricopa","602-283-5267","Intake","623-242-8460","","http://www.communityconnectionsaz.org","33.6515269","-112.0874353","MH","1","","","1","","","","","","1","1","1","1","1","1","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Homes of Personal Enrichment and","Sobriety Services/HOPESS","3338 West Kings Avenue","","Phoenix","AZ","85053","","Maricopa","480-660-5775","","","","http://www.myhopess.com","33.6357774","-112.129585","MH","1","","","1","","","","","","1","1","1","1","1","1","1","","1","","","","","1","","1","","","","1","1","1","1","1","","1","","","","","","","","","1","","1","","","","1","1","1","1","1","1","1","1","1","","1","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","","1","1","1","1","1","","","1","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","1","","","1","1","1","1","1","1","","","","","","1","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Community Connections LLC","39th Avenue","17604 North 39th Avenue","","Glendale","AZ","85308","","Maricopa","602-761-2430","Intake","623-242-8640","","http://www.communityconnectionsaz.org","33.6457365","-112.1433708","MH","1","","","1","","","","","","1","1","1","1","1","1","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Florence Crittenton","Therapeutic Group Home","715 West Mariposa Street","","Phoenix","AZ","85013","","Maricopa","602-274-7318 x109","Intake","","602-274-7318 x177","http://www.flocrit.org","33.5081554","-112.0829409","MH","1","","1","","","","","","","1","1","1","1","1","","","","","1","","","","1","","","","","","1","1","","1","1","","1","1","1","","","","1","","","","","","","","","1","1","","","","1","","","1","1","","","1","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","1","","","","1","","1","","","","","","","","","","","","","","","1","","","","1","","1","1","","","1","1","1","","","","","","","","","1","","","","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"BBC Scottsdale","Hopess Shaw Butte","4444 West Shaw Butte Drive","","Glendale","AZ","85304","","Maricopa","480-660-5775","","","","http://www.myhopess.com","33.5953394","-112.1549908","MH","1","","","1","","","","","","1","1","1","1","1","1","1","","1","","","","","1","","","","","","1","1","1","1","1","","1","","","","","","","","","1","","1","","","","1","1","1","1","1","1","1","1","1","","1","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","","1","1","1","1","1","","","1","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","1","1","","1","1","1","1","1","1","","","","","","1","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Spring Ridge Academy","","13690 South Burton Road","","Mayer","AZ","86333","","Yavapai","928-632-4602 x1140","Intake","928-632-4602","","http://springridgeacademy.com","34.3459472","-112.1682771","MH","1","","","","","","","","1","1","1","1","1","1","1","1","","1","1","","","","1","1","","","","","1","","","","1","1","","","","","","","","","1","1","","","","","","1","1","","","1","","","","1","1","","","1","","","1","","","","","","","","1","1","","1","1","","","","","","1","","","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Arizona VA Healthcare System","Mental Health and Behavioral Sciences","500 Highway 89 North","","Prescott","AZ","86313","","Yavapai","928-445-4860 x5303","Intakes","928-776-6071 x4843","928-717-7500","http://www.prescott.va.gov/","34.5539029","-112.4525611","MH","1","","","","","","","","","1","1","1","1","1","1","","","1","1","","","","1","1","1","1","","","","","","","","","","","","","","","","","1","1","1","","","1","","1","1","1","","","","1","","1","","1","1","1","1","1","1","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","","","","","","","","1","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Reflections Recovery Center","","957 Black Drive","Suite C","Prescott","AZ","86305","","Yavapai","928-350-8275","Intakes","866-790-7979","866-418-1213","http://","34.5660846","-112.4837571","MH","1","","","1","","","","","","1","1","1","1","1","1","1","","1","","","","","1","1","1","","","","1","","","","1","","","","","","","","","","","1","","","","","","1","1","1","1","1","1","1","1","1","","1","","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","","1","1","1","1","1","","1","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Tucson","","39580 South Lago del Oro Parkway","","Tucson","AZ","85739","","Pinal","520-624-4000","Intakes","800-842-4487","855-373-7752","http://www.sierratucson.com","32.5170419","-110.8884831","MH","1","","","","","","","","1","1","1","1","1","1","1","1","","","","","","1","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","1","1","1","1","1","","","","1","","","","1","","","1","","","1","","","","1","1","1","","","1","","1","1","1","1","1","","","","1","","","1","1","1","","1","","","","","1","","","1","","","","1","","","","1","1","1","1","","","1","1","","1","1","1","1","","1","","1","","","","","","","1","1","1","","","","","","1","1","","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Rosewood Centers for Eating Disorders","","36075 South Rincon Road","","Wickenburg","AZ","85390","","Maricopa","928-684-9594","Intake","800-845-2211 x0","","http://www.rosewoodranch.com","34.0270139","-112.7419972","MH","1","","","","1","","","","","1","1","1","1","1","1","1","","","","","","1","1","","","","","","1","1","1","1","1","","1","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","1","","","","","1","1","","1","1","","","","1","","1","1","1","1","","1","","","1","","","","","1","","","","","","","","1","1","","","","","1","1","","","1","1","1","","1","","","","","","","","","1","1","1","","","","","","1","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","",""
