"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","mh","psy","rtcc","rtca","ores","ph","omh","cmhc","msmh","ipt","cft","gt","cbt","dbt","idd","at","ect","tele","smon","smpd","smop","hi","res","phdt","op","vamc","tbg","ih","sf","md","mc","si","pi","mi","smha","swfs","scjj","sef","osf","clf","csbg","cmhg","vaf","cit","wi","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","hv","trma","sed","smi","alz","ptsd","tbi","tay","ped","act","icm","cm","cdm","peer","coot","dec","es","fpsy","hs","imr","ipc","lad","nrt","nsc","prs","stu","sps","semp","sh","tpc","tcc","vrs","chld","yad","adlt","snr","itu","pvtp","pvtn","fqhc","sumh","cbhc","chlor","drope","fluph","halop","loxap","perph","pimoz","proch","thiot","thior","trifl","aripi","asena","brexp","carip","cloza","ilope","luras","olanz","olanzf","palip","queti","rispe","zipra","crt","emdr","kit","tms","peon","peoff","fg","pcf","dv","pefp","hivt","stdt","tbs","aot","msnh","ipsy","shp","vahc","antpych","aim","fed","mhc","hbt","hct","labt","vapn","vapp","vppd","nx","fx","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40"
"Mountain Valley Child and Family Servs","","7818 Bar Du Lane","","Sacramento","CA","95829","9469","Sacramento","916-362-8292","Intakes","530-966-8831","530-265-9057 x226","http://mountainvalleyfamilyservices.net","38.473234","-121.344477","MH","1","","1","","","","","","","1","1","1","1","1","","1","","1","1","","","","1","","","","","","","1","1","","1","","1","1","1","1","","","","","","1","","","","","1","","1","","","","","","","1","1","","","1","","1","1","","1","1","","1","1","1","1","1","1","","","1","","","1","","1","1","","","","1","1","1","","","","","1","","1","","","","","","","","","","","","","1","","","","","","","1","","","","1","","","1","","","1","","","","1","1","","","1","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Mountain Valley Child and Family Servs","","9200 Sweet Acacia Way","","Sacramento","CA","95829","","Sacramento","916-362-8292","Intakes","530-966-8831","530-265-9057 x226","http://mountainvalleyfamilyservices.net","38.4856705","-121.3576078","MH","1","","1","","","","","","","1","1","1","1","1","","1","","1","1","","","","1","","","","","","","1","1","","1","","1","1","1","1","","","","","","1","","","","","1","","1","","","","","","","1","1","","","1","","1","1","","1","1","","1","1","1","1","1","1","","","1","","","1","","1","1","","","","1","1","1","","","","","1","","1","","","","","","","1","","","","","","1","","","","","","","1","","","1","","","","1","","","1","","","","1","1","","","1","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Center for Discovery","Danville","212 La Questa Drive","","Danville","CA","94526","3511","Contra Costa","866-862-3631","","","","http://centerfordiscovery.com/locations/danville/","37.8174208","-121.989987","MH","1","","1","","","","","","","1","1","1","1","1","","","","","1","","","","1","","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","1","","1","1","","","","","","","","","","","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Mountain Valley Child and Family Servs","","6171 Bradshaw Road","","Sacramento","CA","95829","","Sacramento","916-362-8292","Intakes","530-966-8831","530-265-9057 x226","http://mountainvalleyfamilyservices.net","38.514938","-121.332542","MH","1","","1","","","","","","","1","1","1","1","1","","1","","1","1","","","","1","","","","","","","1","1","","1","","1","1","1","1","","","","","","1","","","","","1","","1","","","","","","","1","1","","","1","","1","1","","1","1","","1","1","1","1","1","1","","","1","","","1","","1","1","","","","1","1","1","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","1","","","1","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Telecare Corporation","Redwood Place","18949 Redwood Road","","Castro Valley","CA","94546","","Alameda","510-881-1606 x1021","Intake","510-881-1606 x1011","","http://Telecarecorp.com","37.7078389","-122.0746454","MH","1","","","1","","","","","","","","1","1","1","1","1","","","1","","","","1","","","","","","1","1","1","1","1","","1","","","","1","","","","","","","","","","","","1","","","","","1","1","1","","1","","1","","1","1","","1","1","1","","","1","1","1","","1","1","1","1","1","1","1","1","","","","1","1","","1","1","1","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Progress Foundation","Clay Street","2210 Clay Street","","San Francisco","CA","94110","","San Francisco","415-776-4647","Intake","415-861-0828 x138","","http://progressfoundation.org","37.7496","-122.4153","MH","1","","","1","","","","","","1","1","1","1","1","1","1","","1","","","","","1","","","","","","1","1","1","","","","1","1","","","","1","","","","1","","1","","","1","1","1","1","","","1","1","1","1","","1","","1","1","","1","1","","","","1","1","1","1","1","1","","1","","","1","1","1","1","","","","1","1","","1","1","1","","","1","","1","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","1","",""
"Edgewood Ctr for Children and Families","","1801 Vicente Street","","San Francisco","CA","94116","2923","San Francisco","415-681-3211","Intake","415-682-3176","","http://www.edgewood.org","37.7382644","-122.486567","MH","1","","","","","","","","1","1","1","1","1","1","","1","","1","1","","","","1","1","1","","","","1","1","","1","1","","1","1","1","1","1","1","","1","","1","1","","","1","1","","1","","","","","","","1","1","","","1","","","1","","1","1","","1","","1","1","1","1","","","","","","1","","1","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","1","1","","","1","","1","","1","","1","","","","","1","","1","1","",""
"Center for Discovery","Thousand Oaks","228 Rimrock Road","","Westlake Village","CA","91361","5203","Ventura","866-862-3631","","","","http://centerfordiscovery.com/locations/thousand-oaks/","34.1733236","-118.8669169","MH","1","","","1","","","","","","1","1","1","1","1","","","","","","","","","1","","","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","1","","","","","","","1","","","","1","","","1","","","1","","","","1","","1","1","","","","","","","","","","","","","","","1","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"BNI Treatment Centers","","30954 Lobo Canyon Road","","Agoura Hills","CA","91301","","Los Angeles","866-801-0085","Intake","888-522-1504","","http://bnitreatment.com/","34.1221216","-118.7959711","MH","1","","1","","","","","","","1","","1","1","1","1","1","","1","1","","","","1","1","","","","","1","","","","1","","","","","","","","","","","1","","","","","","1","1","","","","","","","1","","","","1","","","1","","","1","","","","","1","1","","","","","","","","","","","","","","","1","","","","","1","","","1","","","","","","","","","","","","","1","","","","1","","","1","1","","1","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1 Method LLC","1 Method Center","10254 Bannockburn Drive","","Los Angeles","CA","90064","","Los Angeles","310-837-7330","Intake","800-270-1389","","http://methodtreatment.com","34.0343945","-118.4081563","MH","1","","","1","","","","","","1","1","1","1","1","1","1","","1","","","","","1","","","","","","1","","","1","1","1","","","","","","","","","","1","","1","","","1","1","1","1","1","1","1","1","1","1","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","","1","1","1","","1","","","1","","","","","1","","","","","","","","","","","","1","","","","1","","","1","","","1","","","1","","","","1","1","1","1","1","","","","","","1","","","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","",""
