  category_code,category_name,service_code,service_name,service_description
TC,Type of Care,SA,Substance use treatment,"Refers to a broad range of activities or services, including identification of the problem (and engaging the individual in treatment); brief interventions; assessment of substance abuse and related problems including histories of various types of abuse; diagnosis of the problem(s); and treatment planning, including counseling, medical services, psychiatric services, psychological services, social services and follow-up for persons with alcohol or other drug problems (Institute of Medicine, 1990). "
TC,Type of Care,MH,Mental health treatment    ,"Includes interventions such as therapy or psychotropic medication that treat a person's mental health problem or condition, reduce symptoms, and improve behavioral functioning and outcomes. 
"
TC,Type of Care,SUMH,Treatment for co-occurring substance use plus either serious mental health illness in adults/serious emotional disturbance in children,"Housing for individuals recovering from substance abuse that is designed to provide a drug and alcohol-free living environment and appropriate support services to facilitate movement to independent living. Such housing includes transitional living, sober houses, sober living, recovery houses, and 3/4 houses."
FOP,"Facility Operation (e.g., Private, Public)",LCCG,"Local, county, or community government",
FOP,"Facility Operation (e.g., Private, Public)",DDF,Department of Defense,Responsible for providing the military forces needed to deter war and protect the security of our country.
FOP,"Facility Operation (e.g., Private, Public)",IH,Indian Health Services,
FOP,"Facility Operation (e.g., Private, Public)",PVTP,Private for-profit organization,"A business or other organization whose primary goal is making money (a profit).
"
FOP,"Facility Operation (e.g., Private, Public)",PVTN,Private non-profit organization,"A charitable organization that does not qualify as a public charity.
"
FOP,"Facility Operation (e.g., Private, Public)",STG,State government,"Government of a country subdivision in a federal form of government, which shares political power with the federal or national government and must meet certain standards set by the federal government, but are free to expand beyond what exists at the federal level and improve services, access, and protections for consumers, such as mental health and substance abuse services, in that state.
"
FOP,"Facility Operation (e.g., Private, Public)",TBG,Tribal government,A governing body of a group of Native American Indians or Alaska Natives that qualifies as an Indian tribal government determined by the Internal Revenue Services.
FOP,"Facility Operation (e.g., Private, Public)",FED,Federal Government,
FOP,"Facility Operation (e.g., Private, Public)",VAMC,U.S. Department of Veterans Affairs,"Facility operated by the U.S. Department of Veterans Affairs, including general hospitals, and/or residential treatment programs, and/or psychiatric out­patient clinics."
