state,state_url,abbv,regulated_facilities,unregulated_facilities,regulated_by,licensure_type_duration,inspections,accreditation,certificate_of_need,staffing,staff_trainings,staff_ratios,quality_assurance_plan,governance,link
Alabama,Alabama,AL,"Community residential facilities / mental illness residentials are regulated and include the following facilities: psychiatric assessment centers, intermediate care programs, crisis residential programs, adult therapeutic group homes, transitional age residential care programs, adult small capacity residential homes, adult residential care home with specialized medical services and medication/observation/meals programs.",There are no unregulated facilities.,"Facilities are regulated by the Department of Mental Health, except for exempt programs like those run by federal and state agencies or programs already certified by another state agency.",Certification is required and lasts up to two years.,Inspections are required for both certification and recertification.,"not required. Facilities do not receive deemed status waiving requirements in the certification process, even if accredited.",not required.,"Centers are required to have a full-time executive director and clinical director, both with a specific education and experience. A full or part-time psychiatrist is required and there must be documented 24/7 access to on-call psychiatric services. Each employee that offers “direct treatment” needs to have a master’s degree in a field related to mental health and at least 2 years of supervised experience working directly with patients after receiving their master’s. All staff providing therapy or another clinical care are required to have a master's degree in a field related to mental health. Employees who have less experience, treat ""specific subgroups"" or are case managers must meet additional requirements. Additional specifications are provided for specific types of programs and are outlined in the report.",Direct care staff are required to receive initial training. All staff need to be trained on reporting abuse or neglect.,"Residential facilities are required to have on-site staff 24 hours a day, 7 days a week. Each type of program has a required ""defined staffing pattern.""","All facilities should have a performance improvement system, which allows for feedback from  patients, their family members, advocacy organizations and advocates. The plan should also be reviewed by the Board of Directors every two years.","Facilities need to submit documentation of its governing authority, which is responsible for ensuring that the facility is following the applicable laws. This includes reviewing and approving a facility's policies and procedures each year.",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Alabama.pdf
Alaska,Alaska,AK,"Crisis stabilization facilities, which help stabilize a person during a stay that is no longer than 72 hours, are regulated. Regulations vary depending on whether facilities receive funding from the Department of Health and Social Services.",Facilities that aren’t crisis stabilization facilities are not regulated.,Facilities are regulated by the Department of Health and Social Services.,Facilities paid by or under contract by the Department of Health and Social Services are required to have a designation from the department. Designation lasts one year.,"Requirements for inspection weren't specified in regulations, but the report notes that the Medicaid waiver for the state that an inspection is required for the initial designation.","required by the Joint Commission, Council on Accreditation, or Commission on Accreditation of Rehabilitation Facilities.",required.,"The report found that “licensed professionals are not specified.” Administrators are required for operation, but no specific qualifications were detailed in regulations.",Requirements for staff trainings were not specified in the report.,Staff ratios were not specified in the report.,"Facilities should have a service description, philosophy and goals. Facilities should also have ""regular"" quality assurance reviews and collect data to monitor performance.",Facilities must have a governing body whose responsibilities include ensuring compliance with laws and collecting feedback about the facility.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Alaska.pdf
Arizona,Arizona,AZ,"The community mental health residential treatment system, which includes residential treatment programs, short-term crisis residential treatment programs and adult behavioral health therapeutic homes, is regulated.",Facilities not receiving state funds or not seeking certification aren't regulated.,"Facilities are regulated by the state Medicaid agency, the Health Care Cost Containment System Administration.",Licensure is required and lasts one year.,"Inspections are required for the initial license, but inspections for renewal weren’t specified in regulations.","not required, but accreditation details can be provided to the department to waive the inspection requirement.",not required.,"There are requirements for a program administrator and medical staff, including a clinical director and registered nurses. Programs should use “appropriate multidisciplinary staff.”","There are requirements for “pre-service orientation and in-service training,"" but such requirements were not elaborated on in the report.","Staffing levels are outlined in regulations, but not specified in the report.",The facility's administrator should make sure that a quality management program is documented and put in place.,"Facilities should have a governing authority which is specified in the application process for licensure. The authority's responsibilites include designating the clinical director and notifying the Department of ""critical incidents,"" which are detailed in regulations but not specified in the report.",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Arizona.pdf
Arkansas,Arkansas,AR,Acute crisis units and therapeutic communities are regulated as behavioral health agencies.,"The report found it ""possible"" that there are facilities outside of the above categories that are not regulated.",Facilities are regulated by the Department of Human Services.,Facilities must be certified first as a behavioral health agency and then certified again as an acute crisis unit or therapeutic communities. The duration of certification is not specified in regulations.,"Inspections are required for the initial certificate, but inspections for renewal weren’t specified in regulations.","required by the Joint Commission, Commission on Accreditation of Rehabilitation Facilities or Council on Accreditation.",not required.,"All behavioral health agencies, including acute crisis units and therapeutic communities, need to have “a CEO, a Clinical Director, Mental Health Professionals, Qualified Behavioral Health Providers including certified peer support specialists, a Corporate Compliance Officer, a Medical Director who is either a psychiatrist or supported by a psychiatrist on staff, a Privacy Officer, a Quality Control Manager, a Grievance Officer, a Medical Records Librarian, and a Licensed Psychologist, all of which must meet specific requirements.”","Acute crisis units need to have orientation and in-service training, as well as making professional reference materials and continuing educational opportunities available to staff members. All clinical staff need to complete an annual training. Therapeutic communities also have similar requirements for training to an acute crisis unit, including annual trainings.","Acute crisis units need to have ""adequate"" staff to meet patient needs, but no staff ratio is specified in the report. There are required staff ratios for therapeutic communities.","Facilities should have a quality improvement program. As part of the program, there should be meetings every quarter that meet requirements outlined in regulations. Therapeutic communities and acute treatment units should also have a performance improvement plan  that includes a record every quarter, fiscal management and planning and reviewing critical incident reports and patient complaints.",The governing authority for acute crisis units and therapeutic communities manages areas like policies and procedures and staffing.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Arkansas.pdf
California,California,CA,"Social rehabilitation programs/facilities, which include short-term crisis residential treatment programs, transitional residential treatment programs and long-term residential treatment programs, are regulated.","The report found it ""possible"" that there are facilities that are not social rehabilitation programs that are not regulated.","The Department of Health Care Services, Community Services Division, oversees mental health and certifies social rehabilitation programs/facilities. The Department of Social Services licenses facilities.",Certification by the Department of Health Care Services required and is a necessary prerequisite to get a required licensure by the Department of Social Services. Certification lasts one year.,Inspections by the Department of Health Care Services are required for the initial certification and annually afterward. The Department of Social Services will also conduct its own inspection within 90 days of the facility accepting its first client.,not required,not required.,Facilities need an administrator and program director. The qualifications of the latter depends on the type of the program.,Employees are required to have at least 20 hours of training each year. Details of training topics were not specified in the report.,"There are required staffing levels and ratios, which vary by the type of facility. The details of these ratios were not detailed in the report.",Requirements for a plan were not specified in regulations.,Facilities are required to have a governing board and written policies and procedures.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-California.pdf
Colorado,Colorado,CO,"Acute treatment units, which may include crisis stabilization units, are regulated. Acute treatment units can also apply for designations in order to provide 72-hour treatment and evaluation, short-term treatment and/or long-term treatment.",Facilities that don't receive state funds are not regulated.,"Facilities are regulated by the Department of Human Services, Office of Behavioral Health.","Designation is required for all facilities that receive public funding or “initiate an involuntary hold on a person with mental illness.” Designation lasts two years. Provisional designation has a shorter duration, which was not specified in the report.",Inspections are required for designation.,not required,not required.,"A physician medical director is “assumed” to be at facilities in regulations. Facilities for both short-term and long-term treatment need to have either a full-time or contract employee who is licensed to practice medicine or certified as a psychologist in Colorado and is responsible to evaluate and treat each patient. More specific requirements for the director and clinical director at an acute treatment unit are also outlined in regulations. Crisis stabilization units also have specific requirements regarding access to a physician or other individual who can order medications, a staff member qualified to administer medications and employees who are licensed mental health professionals or supervised by a licensed professional.","Employees need to be trained on the populations they’re serving and their individual rights, the facility’s orientation, emergency preparedness and patient confidentiality when hired and ""periodically"" afterward. Training on “assessment skills, infection control, behavior management and de-escalation techniques, health emergency response and behavioral/psychiatric emergency response” within a month of an employee’s hire. Staff also need annual training or an annual “facility certification of competency.” Additional training is required for those who administer involuntary medications or restraint or seclusion techniques.","Acute treatment units and crisis stabilization units need to employ ""sufficient staff."" For crisis stabilization units, this means that all facilities must have at least two employees on-site at all times. The ratios for acute treatment units were not specified in the report.","A quality assurance plan is required, including elements like gathering a “representative sample of open and closed records” at least every 6 months and an annual evaluation that updates the quality assurance plan. The annual evaluation is required to be available for review.",Governance standards include ensuring compliance with laws and overseeing policies and procedures. There are additional governance requirements for acute crisis units that address facility safety.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Colorado.pdf
Connecticut,Connecticut,CT,Residential mental health treatment is regulated as a private intermediate treatment facility.,There are no unregulated facilities.,Facilities are regulated by the Department of Public Health.,Licensure is required and lasts one year.,Site visits are required.,not required,required.,"Staff must have an executive director and a psychiatrist who meet specific requirements, as well as a “sufficient number of staff, qualified by virtue of education and training.” Intermediate treatment facilities also need a qualified person responsible for organizing recreational activities and a licensed nurse on duty and awake at all times.",Facilities are required to have a plan for staff orientation and ongoing training. Details of that training were not specified in the report.,"There needs to be at least one direct care staff member for every 30 clients during sleep hours. During awake hours, there needs to be at least one staff member for every 10 clients. There must always be at least two direct care staffers on duty.",Facilities need to have a program evaluation process that assesses how well the facility is meeting its established goals and objectives.,"A governing body that manages the facility, including overseeing policies that align with regulations, is required.",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Connecticut.pdf
Delaware,Delaware,DE,"Group homes, intensive behavioral support and educational residences (IBSERs) are regulated.","At the time these regulations were reviewed by the U.S. Department of Health and Human Services’s Assistant Secretary for Planning and Evaluation, the Delaware Division of Substance Abuse and Mental Health didn’t have the ability to regulate community health providers in the same way it did for substance use disorder facilities. However, legislation passed in June 2019 allowed the department to write regulations for these facilities.",Facilities are regulated by the Department of Health and Social Services. The Department's Department of Health Care Quality licenses group homes and the Department's Division of Long Term Care Residents Protection licenses IBSERs.,Licensure is required and lasts one year. Provisional licenses are for up to 90 days.,"Inspections are not required for either the initial license or for renewal, but the department may conduct them at any time.",not required,not required.,"For group homes, there are required qualifications for psychiatrists, residence directors, direct care staff and other positions. For IBSERs, there are requirements for a director, direct care supervisor and staff, a service worker supervisor and staff.","Training and policies for “continuing education and development” are required, but not specified for group homes. Training for IBSERs is required at orientation and ongoing afterward, and is required to cover topics like “reporting abuse, emergencies, confidentiality, crisis management, cultural sensitivity, CPR and first aid, behavior management, and restraint training.”","In group homes, a psychiatrist must be on-call at all times, onsite at least once a week and provide services for at least 30 minutes per resident every month. Minimum staffing requirements are also included for clinicians and direct care staff. Minimum staffing ratios are also provided for IBSERs.",A quality assurance plan is required for group homes. No quality assurance plan requirements were found in regulations for IBSERs.,IBSERs need to have a governing body with a director. No governance requirements were found in regulations for group homes.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Delaware.pdf
District of Columbia,District-of-Columbia,DC,There were no adult residential mental health treatment facilities in DC at the time of this report. There is no specific regulation for adult residential mental health treatment facilities.,NA,"If any residential mental health services existed, they would be licensed by the District.",NA,NA,NA,NA,NA,NA,NA,NA,,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-DistrictofColumbia.pdf
Florida,Florida,FL,"Short-term residential treatment programs and crisis stabilization units, and longer-term mental health residential treatment facilities are regulated.","Short-term residential treatment programs and crisis stabilization units that don’t receive public funding are not regulated, but the report specifies that state staff said all programs and units at that time were receiving some public funding. Longer-term mental health residential facilities facilities that “are not treating those with serious and persistent mental illness,” including those for eating disorder treatment, are not regulated.",Facilities are regulated by the Florida Agency of Health Care Administration.,Licensure is required and lasts one year.,Inspections are required for both licensure and renewal.,not required. Longer-term mental health residential treatment facilities may request that their accreditation be used in lieu of the Florida Agency of Health Care Administration conducting on-site inspections. Accredited crisis stabilization units and short-term residential treatment programs must provide proof of accreditation.,not required.,"Crisis stabilization units and short term residential programs are required to have a psychiatrist — and a physician “if back-up is needed” — on-call 24/7 and making daily rounds. At least one registered nurse must be on duty around the clock. Longer-term mental health residential treatment facilities are required to have direct or phone access to “at least one professional 24/7.” If that professional isn’t a psychiatrist, the facility also needs to have access to “regular, consultative and emergency services of a psychiatrist licensed to practice in Florida.”","There are requirements for staff training in the regulations, but the report did specify further details.",Staffing ratios are specified. Ratios vary by the number of beds for crisis stabilization units & short term residential programs and by different levels for longer-term mental health residential treatment facilities.,"A quality assurance plan is required. A quarterly peer review and utilization review will be conducted, as well as an annual review. The review requires, among other things, that major incident reports and cases like suicides, death, violence and staff or resident abuse are evaluated. The plan also includes assessing that medication prescriptions and dosages are appropriate, and that the patient's length of stay is appropriate.",All facilities should have a governing board.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Florida.pdf
Georgia,Georgia,GA,Crisis stabilization units are regulated.,Facilities that are not crisis stabilization units are not regulated or licensed.,Facilities are regulated by the Department of Behavioral Health and Developmental Disabilities.,"Licensure is required. The initial license lasts one year. Subsequent, renewed licenses last two years.",Inspections are required for both licensure and renewal. Inspections can be announced or unannounced.,"not required, but all facilities that have accreditation are required to provide documentation as part of the licensure process.","not required, but short-term residential treatment programs and crisis stabilization units need to have a certification of authorized beds, which specifies how many beds a facility can have based on need and other factors.",A physician or psychiatrist needs to be on call 24/7. There needs to be a full-time nursing administrator and a nursing staff. Requirements for credentials and licensing for employees are specified in regulations.,Training requirements detail orientation and ongoing trainings that cover topics like suicide risk assessment.,Staff ratios are outlined in regulations for nursing staff.,"A quality assurance plan is required. The plan needs to be reviewed and updated at least once a year. Findings regarding quality improvement need to be provided each quarter to ""specified individuals,"" but these individuals were not specified in the report. An additional quarterly report is also required for crisis stabilization units.",A governing body is required and oversees policies and procedures for facilities.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Georgia.pdf
Hawaii,Hawaii,HI,Special treatment facilities are regulated.,There are no unregulated facilities.,Facilities are regulated by the Department of Health.,Licensure is required and lasts one year.,"Inspections are required for licensure. The report did not specify whether inspection was also part of the renewal process. Clearances from the county building department, county zoning, county fire department and sanitation branch are also required for licensure.",not required,required.,"Staff is required to have a program director and a facility administrator, as well as a “sufficient number of trained and qualified staff.” Staff should have a pre-employment and annual health evaluation by a physician.",Orientation and ongoing training for staff is required.,There should be at minimum one staff member for every eight residents.,A quality assurance plan is required. The plan should be updated annually and should be made available to all facility personnel and the Department of Health.,Governance requirements were not found in regulations.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Hawaii.pdf
Idaho,Idaho,ID,"At the time of the report, all residential mental health facilities in the state were provided by hospitals and were governed by hospital regulations.",Facilities that don't receive state funds would not be regulated.,"The Department of Health & Welfare would oversee state-funded behavioral health services, if those existed in the state outside of a hospital setting.",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Idaho.pdf
Illinois,Illinois,IL,"Specialized mental health rehabilitation facilities, which provide crisis stabilization units, recovery and rehabilitation supports and/or transitional living units, are regulated.",There are no unregulated facilities.,Facilities are regulated by the Department of Public Health.,Licensure is required. Provisional licenses last three years. Full licensure lasts one year.,Inspections are required for the initial certification and at least annually afterward.,"required from the Joint Commission, Commission on Accreditation of Rehabilitation Facilities, the Healthcare Facilities Accreditation Program or another entity approved by the Department of Public Health.","not required, but there cannot be any new facilities in the state. No more than 24 facilities can be in the state. An existing facility can close and relocate to a less served region, if given a certificate of need.","Specialized mental health rehabilitation facilities must have an interdisciplinary team, with staff members including at least a physician, a licensed clinical social worker and a licensed clinical professional counselor. (The client, as well as their guardian and other service providers will make up the other part of the team). There are also qualification and responsibility requirements for an “an executive director, a psychiatric medical director, a program director, qualified mental health professionals, mental health professionals, certified recovery support specialists, rehabilitation services associates, and volunteers.”","Training must be provided during orientation and each year, including topics like “principles of evidence-based practices and emerging best practices… trauma informed care, illness management and recovery… crisis prevention intervention training, consumer rights, and recognizing, preventing, and mandatory reporting of abuse and neglect.” Training must also meet Department of Mental Health standards and “be consistent with nationally recognized national accreditation standards.” Direct care staff in crisis stabilization units and treatment teams in transitional living units must meet every week for cross-training.",Staff ratios vary by type of staff.,"A quality assurance plan is required and should be updated annually, with data collection and a reporting process occurring each quarter. Findings of ""root cause analyses"" from the plan should be available to the Department of Health, Department of Mental Health and the Department of Healthcare and Family Services upon request. The regulations also specify performance indicators like use of restraints and reportable incidents.",A governing body is required and oversees policies and procedures for facilities.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Illinois.pdf
